period,sessions,trade_days,total_return_pct,day_win_rate_pct,asset_trades,asset_wins,asset_win_rate_pct,profit_factor,max_drawdown_pct,sharpe_ratio,final_equity,stops
2025-01,22,2,68.27,100.0,6,6,100.0,inf,0.0,4.9,168271.23,0
2025-02,20,5,487.85,100.0,15,15,100.0,inf,0.0,6.9,587850.43,0
2025-03,21,5,327.24,100.0,15,15,100.0,inf,0.0,7.92,427235.28,0
2025-04,21,6,2488.19,100.0,18,15,83.33,6.06,0.0,6.67,2588188.95,3
2025-05,22,10,13689.1,100.0,30,29,96.67,112.79,0.0,10.04,13789102.18,1
2025-06,21,2,175.52,100.0,6,6,100.0,inf,0.0,5.16,275515.92,0
2025-07,23,9,5392.66,100.0,27,27,100.0,inf,0.0,10.72,5492657.64,0
2025-08,21,6,721.44,100.0,18,18,100.0,inf,0.0,9.36,821442.38,0
2025-09,22,5,289.07,80.0,15,14,93.33,7.7,-14.71,6.45,389069.24,1
2025-10,23,5,684.38,80.0,15,14,93.33,3.99,-13.18,5.12,784378.14,1
2025-11,20,4,321.34,100.0,12,12,100.0,inf,0.0,5.97,421342.31,0
2025-12,23,1,17.79,100.0,3,3,100.0,inf,0.0,3.38,117788.03,0
2025 FY (compounded),259,60,2839688788062.15,96.67,180,174,96.67,17.22,-14.71,6.27,2839688788162153.5,6
