trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2025-08-11-CLOSE,XAUUSD,SHORT,3398.5,3344.83,3432.485,2025-08-11,2025-08-11,6666.666666666667,500,1.5792,52640.87,CLOSE,CONTRACTION,False
EURUSD-2025-08-11-CLOSE,EURUSD,SHORT,1.1642,1.1616,1.1758419999999998,2025-08-11,2025-08-11,6666.666666666667,500,0.2233,7444.31,CLOSE,CONTRACTION,False
AUDUSD-2025-08-11-CLOSE,AUDUSD,SHORT,0.652,0.6513,0.65852,2025-08-11,2025-08-11,6666.666666666667,500,0.1074,3578.73,CLOSE,CONTRACTION,False
XAUUSD-2025-08-14-CLOSE,XAUUSD,SHORT,3354.73,3336.5,3388.2773,2025-08-14,2025-08-14,10910.927593829098,500,0.5434,29645.64,CLOSE,CONTRACTION,False
EURUSD-2025-08-14-CLOSE,EURUSD,SHORT,1.1706,1.1648,1.182306,2025-08-14,2025-08-14,10910.927593829098,500,0.4955,27030.32,CLOSE,CONTRACTION,False
AUDUSD-2025-08-14-CLOSE,AUDUSD,SHORT,0.6546,0.6495,0.661146,2025-08-14,2025-08-14,10910.927593829098,500,0.7791,42503.61,CLOSE,CONTRACTION,False
XAUUSD-2025-08-18-CLOSE,XAUUSD,SHORT,3338.0,3330.55,3371.38,2025-08-18,2025-08-18,17522.89875524533,500,0.2232,19554.46,CLOSE,CONTRACTION,False
EURUSD-2025-08-18-CLOSE,EURUSD,SHORT,1.1694,1.1661,1.181094,2025-08-18,2025-08-18,17522.89875524533,500,0.2822,24724.46,CLOSE,CONTRACTION,False
AUDUSD-2025-08-18-CLOSE,AUDUSD,SHORT,0.6509,0.6492,0.657409,2025-08-18,2025-08-18,17522.89875524533,500,0.2612,22882.88,CLOSE,CONTRACTION,False
XAUUSD-2025-08-19-CLOSE,XAUUSD,SHORT,3332.38,3315.46,3365.7038000000002,2025-08-19,2025-08-19,22000.351991588304,500,0.5077,55852.87,CLOSE,CONTRACTION,False
EURUSD-2025-08-19-CLOSE,EURUSD,SHORT,1.166,1.1647,1.17766,2025-08-19,2025-08-19,22000.351991588304,500,0.1115,12264.35,CLOSE,CONTRACTION,False
AUDUSD-2025-08-19-CLOSE,AUDUSD,SHORT,0.6494,0.6454,0.655894,2025-08-19,2025-08-19,22000.351991588304,500,0.616,67755.93,CLOSE,CONTRACTION,False
XAUUSD-2025-08-21-CLOSE,XAUUSD,SHORT,3347.38,3338.81,3380.8538000000003,2025-08-21,2025-08-21,31058.561933112895,500,0.256,39758.24,CLOSE,CONTRACTION,False
EURUSD-2025-08-21-CLOSE,EURUSD,SHORT,1.1653,1.1606,1.176953,2025-08-21,2025-08-21,31058.561933112895,500,0.4033,62634.19,CLOSE,CONTRACTION,False
AUDUSD-2025-08-21-CLOSE,AUDUSD,SHORT,0.6429,0.642,0.649329,2025-08-21,2025-08-21,31058.561933112895,500,0.14,21739.54,CLOSE,CONTRACTION,False
XAUUSD-2025-08-25-CLOSE,XAUUSD,SHORT,3371.23,3366.79,3404.9423,2025-08-25,2025-08-25,39334.026818317994,500,0.1317,25901.98,CLOSE,CONTRACTION,False
EURUSD-2025-08-25-CLOSE,EURUSD,SHORT,1.1717,1.1618,1.183417,2025-08-25,2025-08-25,39334.026818317994,500,0.8449,166171.74,CLOSE,CONTRACTION,False
AUDUSD-2025-08-25-CLOSE,AUDUSD,SHORT,0.6496,0.6483,0.656096,2025-08-25,2025-08-25,39334.026818317994,500,0.2001,39358.25,CLOSE,CONTRACTION,False
