trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-04-02-CLOSE,XAUUSD,SHORT,4764.899902,4651.5,4812.54890102,2026-04-02,2026-04-02,6666.666666666667,500,2.3799,79330.03,CLOSE,CONTRACTION,False
EURUSD-2026-04-02-CLOSE,EURUSD,SHORT,1.15975,1.1541,1.1713475,2026-04-02,2026-04-02,6666.666666666667,500,0.4872,16239.13,CLOSE,CONTRACTION,False
AUDUSD-2026-04-02-CLOSE,AUDUSD,SHORT,0.6926,0.69055,0.699526,2026-04-02,2026-04-02,6666.666666666667,500,0.296,9866.2,CLOSE,CONTRACTION,False
XAUUSD-2026-04-16-CLOSE,XAUUSD,SHORT,4810.899902,4785.399902,4859.00890102,2026-04-16,2026-04-16,13695.691405154017,500,0.53,36296.76,CLOSE,CONTRACTION,False
EURUSD-2026-04-16-CLOSE,EURUSD,SHORT,1.18195,1.17965,1.1937695000000001,2026-04-16,2026-04-16,13695.691405154017,500,0.1946,13325.47,CLOSE,CONTRACTION,False
AUDUSD-2026-04-16-CLOSE,AUDUSD,SHORT,0.71725,0.7155,0.7244225000000001,2026-04-16,2026-04-16,13695.691405154017,500,0.244,16707.88,CLOSE,CONTRACTION,False
XAUUSD-2026-04-23-CLOSE,XAUUSD,SHORT,4711.5,4705.100098,4758.615,2026-04-23,2026-04-23,18117.699161860928,500,0.1358,12305.16,CLOSE,CONTRACTION,False
EURUSD-2026-04-23-CLOSE,EURUSD,SHORT,1.17185,1.1702,1.1835685,2026-04-23,2026-04-23,18117.699161860928,500,0.1408,12755.13,CLOSE,CONTRACTION,False
AUDUSD-2026-04-23-CLOSE,AUDUSD,SHORT,0.71615,0.71335,0.7233115,2026-04-23,2026-04-23,18117.699161860928,500,0.391,35418.25,CLOSE,CONTRACTION,False
XAUUSD-2026-04-28-CLOSE,XAUUSD,SHORT,4680.899902,4591.5,4727.70890102,2026-04-28,2026-04-28,22149.601731545394,500,1.9099,211516.19,CLOSE,CONTRACTION,False
EURUSD-2026-04-28-CLOSE,EURUSD,SHORT,1.1735,1.17225,1.185235,2026-04-28,2026-04-28,22149.601731545394,500,0.1065,11796.76,CLOSE,CONTRACTION,False
AUDUSD-2026-04-28-CLOSE,AUDUSD,SHORT,0.7192,0.71815,0.7263919999999999,2026-04-28,2026-04-28,22149.601731545394,500,0.146,16168.72,CLOSE,CONTRACTION,False
XAUUSD-2026-04-29-CLOSE,XAUUSD,SHORT,4598.600098,4545.200195,4644.58609898,2026-04-29,2026-04-29,38115.046334287625,500,1.1612,221299.93,CLOSE,CONTRACTION,False
EURUSD-2026-04-29-CLOSE,EURUSD,SHORT,1.1725,1.168,1.184225,2026-04-29,2026-04-29,38115.046334287625,500,0.3838,73141.88,CLOSE,CONTRACTION,False
AUDUSD-2026-04-29-CLOSE,AUDUSD,SHORT,0.7178,0.7111,0.724978,2026-04-29,2026-04-29,38115.046334287625,500,0.9334,177884.38,CLOSE,CONTRACTION,False
