trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-01-07-CLOSE,XAUUSD,SHORT,4450.0,4449.299805,4494.5,2026-01-07,2026-01-07,6666.666666666667,500,0.0157,524.49,CLOSE,CONTRACTION,False
EURUSD-2026-01-07-CLOSE,EURUSD,SHORT,1.1697,1.16885,1.181397,2026-01-07,2026-01-07,6666.666666666667,500,0.0727,2422.27,CLOSE,CONTRACTION,False
AUDUSD-2026-01-07-CLOSE,AUDUSD,SHORT,0.6737,0.67285,0.680437,2026-01-07,2026-01-07,6666.666666666667,500,0.1262,4205.63,CLOSE,CONTRACTION,False
XAUUSD-2026-01-08-CLOSE,XAUUSD,SHORT,4460.200195,4449.700195,4504.8021969500005,2026-01-08,2026-01-08,7143.492983422013,500,0.2354,8408.44,CLOSE,CONTRACTION,False
EURUSD-2026-01-08-CLOSE,EURUSD,SHORT,1.1682,1.16545,1.1798819999999999,2026-01-08,2026-01-08,7143.492983422013,500,0.2354,8408.07,CLOSE,CONTRACTION,False
AUDUSD-2026-01-08-CLOSE,AUDUSD,SHORT,0.67235,0.6694,0.6790735,2026-01-08,2026-01-08,7143.492983422013,500,0.4388,15671.38,CLOSE,CONTRACTION,False
XAUUSD-2026-01-29-STOP_LOSS,XAUUSD,SHORT,5415.700195,5469.857196950001,5469.857196950001,2026-01-29,2026-01-29,9309.352225494493,500,-1.0,-46546.76,STOP_LOSS,CONTRACTION,True
EURUSD-2026-01-29-CLOSE,EURUSD,SHORT,1.19875,1.19605,1.2107375,2026-01-29,2026-01-29,9309.352225494493,500,0.2252,10483.94,CLOSE,CONTRACTION,False
AUDUSD-2026-01-29-CLOSE,AUDUSD,SHORT,0.70405,0.70275,0.7110905,2026-01-29,2026-01-29,9309.352225494493,500,0.1846,8594.67,CLOSE,CONTRACTION,False
XAUUSD-2026-01-30-STOP_LOSS,XAUUSD,SHORT,5376.399902,5430.163901020001,5430.163901020001,2026-01-30,2026-01-30,7478.14243060489,500,-1.0,-37390.71,STOP_LOSS,CONTRACTION,True
