date,equity,daily_mtm_pnl,regime,active_positions,total_notional
2026-07-01,100000.0,0.0,CONTRACTION,5,5.0
2026-07-02,100961.94623894354,961.9462389435413,CONTRACTION,5,6.0
2026-07-03,102931.20937710349,1969.263138159952,CONTRACTION,5,9.0
2026-07-06,107176.65581789397,4245.446440790495,CONTRACTION,5,13.0
2026-07-07,114345.73179328216,7169.075975388185,CONTRACTION,5,19.0
2026-07-08,130351.04305256985,16005.311259287691,CONTRACTION,5,33.0
2026-07-09,154771.49226554457,24420.449212974727,CONTRACTION,5,41.0
2026-07-10,185951.74855167978,31180.25628613522,CONTRACTION,5,61.0
2026-07-13,231621.85193623346,45670.10338455367,CONTRACTION,5,93.0
2026-07-14,314023.65470084053,82401.80276460707,CONTRACTION,5,169.0
2026-07-15,483978.7435585222,169955.08885768164,CONTRACTION,5,297.0
2026-07-16,830441.4098335502,346462.6662750281,CONTRACTION,5,553.0
2026-07-17,1460520.7075379007,630079.2977043506,CONTRACTION,5,1089.0
2026-07-20,3262947.1457248144,1802426.4381869135,CONTRACTION,5,2129.0
2026-07-21,7460853.430174471,4197906.2844496565,CONTRACTION,5,4209.0
2026-07-22,15115679.90576256,7654826.475588089,CONTRACTION,5,8369.0
2026-07-23,30370413.932873078,15254734.027110515,CONTRACTION,5,16705.0
2026-07-24,54449191.32385586,24078777.390982788,CONTRACTION,5,33377.0
2026-07-27,106152495.3340243,51703304.01016843,CONTRACTION,5,66689.0
