,date,equity,daily_pnl,yield,regime,trade_day,aligned,daily_pnl_pct,net_ret_pct,asset_wins
0,2026-07-01,100000.0,0.0,1.85,CONTRACTION,False,False,,,
1,2026-07-02,100000.0,0.0,1.86,CONTRACTION,False,False,,,
2,2026-07-03,100000.0,0.0,1.87,CONTRACTION,False,False,,,
3,2026-07-06,100000.0,0.0,1.88,CONTRACTION,False,False,,,
4,2026-07-07,171635.02906457405,71635.02906457403,1.89,CONTRACTION,True,True,71.63502906457401,0.7163502906457403,3.0
5,2026-07-08,171635.02906457405,0.0,1.9,CONTRACTION,False,False,,,
6,2026-07-09,171635.02906457405,0.0,1.91,CONTRACTION,False,False,,,
7,2026-07-10,171635.02906457405,0.0,1.92,CONTRACTION,False,False,,,
8,2026-07-13,352278.5141856314,180643.4851210574,1.93,CONTRACTION,True,True,105.24861160660517,1.0524861160660517,3.0
9,2026-07-14,352278.5141856314,0.0,1.94,CONTRACTION,False,False,,,
10,2026-07-15,352278.5141856314,0.0,1.95,CONTRACTION,False,False,,,
11,2026-07-16,646252.9946086925,293974.48042306106,1.96,CONTRACTION,True,True,83.4494493945074,0.8344944939450738,3.0
12,2026-07-17,646252.9946086925,0.0,2.31,CONTRACTION,False,False,,,
13,2026-07-20,646252.9946086925,0.0,2.35,CONTRACTION,False,False,,,
14,2026-07-21,646252.9946086925,0.0,2.37,CONTRACTION,False,False,,,
15,2026-07-22,646252.9946086925,0.0,2.39,CONTRACTION,False,False,,,
16,2026-07-23,1126407.831055019,480154.83644632646,2.43,CONTRACTION,True,True,74.29827644157551,0.7429827644157551,3.0
17,2026-07-24,1126407.831055019,0.0,2.41,CONTRACTION,False,False,,,
