trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-07-07-CLOSE,XAUUSD,SHORT,4166.99,4107.32,4208.6599,2026-07-07,2026-07-07,6666.666666666667,500,1.432,47732.3,CLOSE,CONTRACTION,False
EURUSD-2026-07-07-CLOSE,EURUSD,SHORT,1.1442,1.1412,1.155642,2026-07-07,2026-07-07,6666.666666666667,500,0.2622,8739.73,CLOSE,CONTRACTION,False
AUDUSD-2026-07-07-CLOSE,AUDUSD,SHORT,0.6595,0.6565,0.666095,2026-07-07,2026-07-07,6666.666666666667,500,0.4549,15163.0,CLOSE,CONTRACTION,False
XAUUSD-2026-07-13-CLOSE,XAUUSD,SHORT,4097.61,4001.01,4138.5860999999995,2026-07-13,2026-07-13,11442.335270971604,500,2.3575,134874.91,CLOSE,CONTRACTION,False
EURUSD-2026-07-13-CLOSE,EURUSD,SHORT,1.1412,1.1383,1.152612,2026-07-13,2026-07-13,11442.335270971604,500,0.2541,14538.54,CLOSE,CONTRACTION,False
AUDUSD-2026-07-13-CLOSE,AUDUSD,SHORT,0.6595,0.6559,0.666095,2026-07-13,2026-07-13,11442.335270971604,500,0.5459,31230.03,CLOSE,CONTRACTION,False
XAUUSD-2026-07-16-CLOSE,XAUUSD,SHORT,4064.37,3976.28,4105.0136999999995,2026-07-16,2026-07-16,23485.234279042095,500,2.1674,254506.15,CLOSE,CONTRACTION,False
EURUSD-2026-07-16-CLOSE,EURUSD,SHORT,1.1465,1.1442,1.1579650000000001,2026-07-16,2026-07-16,23485.234279042095,500,0.2006,23556.93,CLOSE,CONTRACTION,False
AUDUSD-2026-07-16-CLOSE,AUDUSD,SHORT,0.6642,0.6633,0.670842,2026-07-16,2026-07-16,23485.234279042095,500,0.1355,15911.41,CLOSE,CONTRACTION,False
XAUUSD-2026-07-23-CLOSE,XAUUSD,SHORT,4117.63,4049.57,4158.8063,2026-07-23,2026-07-23,43083.532973912836,500,1.6529,356062.26,CLOSE,CONTRACTION,False
EURUSD-2026-07-23-CLOSE,EURUSD,SHORT,1.141,1.1377,1.15241,2026-07-23,2026-07-23,43083.532973912836,500,0.2892,62303.09,CLOSE,CONTRACTION,False
AUDUSD-2026-07-23-CLOSE,AUDUSD,SHORT,0.6624,0.6605,0.669024,2026-07-23,2026-07-23,43083.532973912836,500,0.2868,61789.49,CLOSE,CONTRACTION,False
