date,asset,direction,entry_price,exit_price,ret_pct,pnl_pct,pnl_usd,position_size,equity_before,equity_after,win
2026-07-07,XAUUSD,SHORT,4165.3092,4101.58,-1.53,1.53,306.0,20000.0,100000.0,100306.0,True
2026-07-07,EURUSD,SHORT,1.0901,1.0865,-0.33,0.33,66.0,20000.0,100000.0,100066.0,True
2026-07-07,AUDUSD,SHORT,0.6595,0.6565,-0.45,0.45,90.0,20000.0,100000.0,100090.0,True
2026-07-13,XAUUSD,SHORT,4120.0823,4004.72,-2.8,2.8,562.59,20092.4,100462.0,101024.59,True
2026-07-13,EURUSD,SHORT,1.0879,1.0845,-0.31,0.31,62.29,20092.4,100462.0,100524.29,True
2026-07-13,AUDUSD,SHORT,0.6595,0.6559,-0.55,0.55,110.51,20092.4,100462.0,100572.51,True
2026-07-16,XAUUSD,SHORT,4061.4937,3975.39,-2.12,2.12,429.08,20239.48,101197.38,101626.46,True
2026-07-16,EURUSD,SHORT,1.0924,1.0902,-0.2,0.2,40.48,20239.48,101197.38,101237.86,True
2026-07-16,AUDUSD,SHORT,0.6642,0.6633,-0.14,0.14,28.34,20239.48,101197.38,101225.72,True
2026-07-17,XAUUSD,SHORT,3975.569,4017.71,1.06,-1.06,-215.59,20339.05,101695.27,101479.68,False
2026-07-17,EURUSD,SHORT,1.0902,1.0899,-0.03,0.03,6.1,20339.05,101695.27,101701.37,True
2026-07-17,AUDUSD,SHORT,0.6633,0.6619,-0.21,0.21,42.71,20339.05,101695.27,101737.98,True
2026-07-23,XAUUSD,SHORT,4127.2014,4049.61,-1.88,1.88,381.75,20305.7,101528.49,101910.24,True
2026-07-23,EURUSD,SHORT,1.0869,1.0841,-0.26,0.26,52.79,20305.7,101528.49,101581.29,True
2026-07-23,AUDUSD,SHORT,0.6624,0.6605,-0.29,0.29,58.89,20305.7,101528.49,101587.38,True
