month,v1_days,v1_ret,v1_dd,v1_stops,v2_days,v2_ret,v2_dd,v2_stops,v2lite_days,v2lite_ret,v2lite_dd,v2lite_stops
2025-01,2,68.27,0.0,0,1,21.91,0.0,0,2,68.27,0.0,0
2025-02,5,487.85,0.0,0,3,167.06,0.0,0,5,487.85,0.0,0
2025-03,5,327.24,0.0,0,3,45.84,0.0,0,5,327.24,0.0,0
2025-04,6,2488.19,0.0,3,6,373.65,-4.14,3,6,2488.19,0.0,3
2025-05,10,13689.1,0.0,1,9,402.64,0.0,1,10,13689.1,0.0,1
2025-06,2,175.52,0.0,0,2,70.62,0.0,0,2,175.52,0.0,0
2025-07,9,5392.66,0.0,0,8,1310.29,0.0,0,9,5392.66,0.0,0
2025-08,6,721.44,0.0,0,4,191.36,0.0,0,6,721.44,0.0,0
2025-09,5,289.07,-14.71,1,3,153.16,0.0,0,5,310.57,-10.0,1
2025-10,5,684.38,-13.18,1,4,161.38,0.0,1,5,713.07,-10.0,1
2025-11,4,321.34,0.0,0,2,34.45,0.0,0,4,321.34,0.0,0
2025-12,1,17.79,0.0,0,0,0.0,0.0,0,1,17.79,0.0,0
2026-01,4,221.17,0.0,1,2,71.98,0.0,1,4,221.17,0.0,1
2026-02,4,197.41,-12.18,2,4,45.31,0.0,2,4,204.8,-10.0,2
2026-03,7,9721.27,0.0,2,7,999.75,0.0,2,7,9721.27,0.0,2
2026-04,6,1139.81,-24.06,1,5,177.99,0.0,0,6,1369.45,-10.0,1
2026-05,9,5120.39,-13.63,1,7,340.38,0.0,0,9,5339.9,-10.0,1
2026-06,7,10060.92,0.0,1,7,567.87,0.0,1,7,10060.92,0.0,1
2026-07,6,1796.05,0.0,0,4,188.46,0.0,0,6,1796.05,0.0,0
