observation_date,DFII10
2023-01-02,
2023-01-03,1.53
2023-01-04,1.47
2023-01-05,1.49
2023-01-06,1.34
2023-01-09,1.31
2023-01-10,1.37
2023-01-11,1.31
2023-01-12,1.22
2023-01-13,1.31
2023-01-16,
2023-01-17,1.36
2023-01-18,1.25
2023-01-19,1.19
2023-01-20,1.25
2023-01-23,1.24
2023-01-24,1.19
2023-01-25,1.17
2023-01-26,1.16
2023-01-27,1.19
2023-01-30,1.26
2023-01-31,1.28
2023-02-01,1.14
2023-02-02,1.18
2023-02-03,1.31
2023-02-06,1.38
2023-02-07,1.36
2023-02-08,1.29
2023-02-09,1.34
2023-02-10,1.41
2023-02-13,1.41
2023-02-14,1.46
2023-02-15,1.46
2023-02-16,1.49
2023-02-17,1.46
2023-02-20,
2023-02-21,1.53
2023-02-22,1.52
2023-02-23,1.49
2023-02-24,1.57
2023-02-27,1.56
2023-02-28,1.49
2023-03-01,1.57
2023-03-02,1.60
2023-03-03,1.45
2023-03-06,1.49
2023-03-07,1.59
2023-03-08,1.66
2023-03-09,1.63
2023-03-10,1.44
2023-03-13,1.31
2023-03-14,1.33
2023-03-15,1.22
2023-03-16,1.34
2023-03-17,1.29
2023-03-20,1.33
2023-03-21,1.36
2023-03-22,1.20
2023-03-23,1.19
2023-03-24,1.16
2023-03-27,1.29
2023-03-28,1.24
2023-03-29,1.24
2023-03-30,1.21
2023-03-31,1.16
2023-04-03,1.14
2023-04-04,1.10
2023-04-05,1.07
2023-04-06,1.06
2023-04-07,1.14
2023-04-10,1.14
2023-04-11,1.14
2023-04-12,1.14
2023-04-13,1.16
2023-04-14,1.22
2023-04-17,1.28
2023-04-18,1.30
2023-04-19,1.32
2023-04-20,1.28
2023-04-21,1.29
2023-04-24,1.24
2023-04-25,1.15
2023-04-26,1.18
2023-04-27,1.26
2023-04-28,1.26
2023-05-01,1.36
2023-05-02,1.24
2023-05-03,1.18
2023-05-04,1.18
2023-05-05,1.23
2023-05-08,1.29
2023-05-09,1.30
2023-05-10,1.26
2023-05-11,1.23
2023-05-12,1.28
2023-05-15,1.31
2023-05-16,1.35
2023-05-17,1.35
2023-05-18,1.42
2023-05-19,1.46
2023-05-22,1.48
2023-05-23,1.44
2023-05-24,1.48
2023-05-25,1.58
2023-05-26,1.57
2023-05-29,
2023-05-30,1.47
2023-05-31,1.46
2023-06-01,1.45
2023-06-02,1.51
2023-06-05,1.50
2023-06-06,1.50
2023-06-07,1.58
2023-06-08,1.53
2023-06-09,1.55
2023-06-12,1.56
2023-06-13,1.64
2023-06-14,1.62
2023-06-15,1.51
2023-06-16,1.55
2023-06-19,
2023-06-20,1.52
2023-06-21,1.51
2023-06-22,1.56
2023-06-23,1.53
2023-06-26,1.54
2023-06-27,1.57
2023-06-28,1.53
2023-06-29,1.65
2023-06-30,1.59
2023-07-03,1.61
2023-07-04,
2023-07-05,1.69
2023-07-06,1.78
2023-07-07,1.79
2023-07-10,1.76
2023-07-11,1.75
2023-07-12,1.60
2023-07-13,1.52
2023-07-14,1.59
2023-07-17,1.56
2023-07-18,1.57
2023-07-19,1.53
2023-07-20,1.50
2023-07-21,1.49
2023-07-24,1.48
2023-07-25,1.52
2023-07-26,1.50
2023-07-27,1.64
2023-07-28,1.58
2023-07-31,1.60
2023-08-01,1.68
2023-08-02,1.72
2023-08-03,1.83
2023-08-04,1.67
2023-08-07,1.68
2023-08-08,1.66
2023-08-09,1.66
2023-08-10,1.76
2023-08-11,1.80
2023-08-14,1.83
2023-08-15,1.89
2023-08-16,1.96
2023-08-17,1.97
2023-08-18,1.94
2023-08-21,2.00
2023-08-22,1.99
2023-08-23,1.84
2023-08-24,1.91
2023-08-25,1.92
2023-08-28,1.90
2023-08-29,1.83
2023-08-30,1.86
2023-08-31,1.85
2023-09-01,1.92
2023-09-04,
