d,nl,ns
2018-12-04,173019,124018
2018-12-11,169600,109101
2018-12-18,182168,106208
2018-12-24,208622,97637
2018-12-31,210141,86369
2019-01-08,199560,100344
2019-01-15,201796,113883
2019-01-22,186510,112006
2019-01-29,212318,112725
2019-02-05,218200,109105
2019-02-12,214170,109296
2019-02-19,254086,108439
2019-02-26,236835,101139
2019-03-05,202628,114610
2019-03-12,205250,126431
2019-03-19,204325,115929
2019-03-26,214897,94959
2019-04-02,193784,99228
2019-04-09,199507,94143
2019-04-16,183213,126940
2019-04-23,176691,139296
2019-04-30,177275,111056
2019-05-07,185801,110390
2019-05-14,226361,101825
2019-05-21,203628,114823
2019-05-28,194463,107775
2019-06-04,240477,84362
2019-06-11,250114,65876
2019-06-18,274633,70310
2019-06-25,298108,61554
2019-07-02,312702,53756
2019-07-09,306105,61342
2019-07-16,309535,64034
2019-07-23,311881,60631
2019-07-30,312214,57826
2019-08-06,350558,58013
2019-08-13,346223,56133
2019-08-20,352294,52301
2019-08-27,362609,65771
2019-09-03,365385,64838
2019-09-10,334114,64389
2019-09-17,341511,58912
2019-09-24,370393,57949
2019-10-01,322800,53807
2019-10-08,334383,58820
2019-10-15,319370,66343
2019-10-22,322917,63785
2019-10-29,335423,58908
2019-11-05,344591,64763
2019-11-12,323189,56123
2019-11-19,337296,51437
2019-11-26,325286,53652
2019-12-03,346525,55820
2019-12-10,329169,58249
2019-12-17,344493,58218
2019-12-24,364310,58658
2019-12-31,381620,53695
2020-01-07,383480,61189
2020-01-14,376809,57574
2020-01-21,374793,57098
2020-01-28,376401,46309
2020-02-04,355909,56103
2020-02-11,356535,48561
2020-02-18,408349,54700
2020-02-25,389339,53474
2020-03-03,366173,46440
2020-03-10,336290,36759
2020-03-17,317405,35489
2020-03-24,317928,29562
2020-03-31,287529,28680
2020-04-07,279880,30938
2020-04-14,286617,34116
2020-04-21,282263,32692
2020-04-28,287382,24653
2020-05-05,275571,25567
2020-05-12,277771,34943
2020-05-19,295394,43606
2020-05-26,288148,50234
2020-06-02,272196,53162
2020-06-09,263972,55359
2020-06-16,277395,53047
2020-06-23,308459,56502
2020-06-30,328942,62272
2020-07-07,337030,69672
2020-07-14,330205,67777
2020-07-21,334237,67801
2020-07-28,312588,75787
2020-08-04,321847,83101
2020-08-11,306867,82814
2020-08-18,302369,78851
2020-08-25,301559,80521
2020-09-01,306118,75322
2020-09-08,313173,76700
2020-09-15,324512,83535
2020-09-22,309015,89955
2020-09-29,316106,72447
2020-10-06,320922,72335
2020-10-13,326986,86315
2020-10-20,340206,90602
2020-10-27,326063,77429
2020-11-03,321798,78889
2020-11-10,318516,78780
2020-11-17,329698,78428
2020-11-24,320324,76422
2020-12-01,324344,64030
2020-12-08,338271,69051
2020-12-15,340610,69026
2020-12-21,349870,71674
2020-12-29,341812,72940
2021-01-05,349946,70628
2021-01-12,313217,66990
2021-01-19,307507,60869
2021-01-26,313532,55986
2021-02-02,314352,57226
2021-02-09,309326,57919
2021-02-16,303583,68614
2021-02-23,284081,68348
2021-03-02,265533,75895
2021-03-09,254839,79676
2021-03-16,256237,76041
2021-03-23,262774,88707
2021-03-30,263453,95925
2021-04-06,275703,86194
2021-04-13,269513,88639
2021-04-20,275985,94487
2021-04-27,270717,100098
2021-05-04,270194,99453
2021-05-11,282161,89906
2021-05-18,290267,91378
2021-05-25,288266,73624
2021-06-01,288826,75125
2021-06-08,288781,79394
2021-06-15,273947,81911
2021-06-22,253153,86939
2021-06-29,254206,91980
2021-07-06,270545,87724
2021-07-13,275543,84707
2021-07-20,277312,81340
2021-07-27,273688,74300
